label,GAERS,GAERS,GAERS,GAERS,GAERS,GAERS,GAERS,GAERS,NEC,NEC,NEC,NEC,NEC,NEC
name,PCE_101_GAERS_590_Cortex,PCE_102_GAERS_628_Cortex,PCE_103_GAERS_614_Cortex,PCE_104_GAERS_629_Cortex,PCE_105_GAERS_630_Cortex,PCE_106_GAERS_602_Cortex,PCE_128_GAERS_625_Cortex,PCE_130_GAERS_601_Cortex,PCE_107_NEC_601_Cortex,PCE_108_NEC_687_Cortex,PCE_109_NEC_602_Cortex,PCE_110_NEC_603_Cortex,PCE_111_NEC_688_Cortex,PCE_112_NEC_604_Cortex
C4H6N2O2 - 2B,207532,79245,104266,83781,0,67290,62807,105377,100054,93062,114962,96626,104272,142989
C5H10N2O,105073,79707,72774,65752,70933,56802,118439,82618,51865,1423931,37549,88241,48961,55840
C5H9NO2,77808984,73383760,68551112,68957544,63750712,53728616,65855256,71761456,57784040,65622140,40508124,46477464,56828600,61431712
C4H4O4,74197,145523,138126,136716,123079,60142,100982,118148,120592,118256,113347,135546,105002,127804
C5H8O3,187720,181675,166009,355227,287171,171623,322484,167150,320191,182435,229749,239488,333517,269700
C6H12O2,1822721,2406104,1828516,2486990,1337919,1438024,1844911,1744781,1614765,1895012,1125200,1426457,1459053,1397779
C6H12O2 - 1A,248327,325528,246560,281853,296813,297661,266311,231272,319721,284590,352965,387461,259655,273248
C4H7NO3,189466,196021,194569,171830,166349,166473,146972,161824,183493,167170,157370,161243,163550,169355
C3H7N3O2,4930604,4921838,3579328,4048148,5351139,3749172,3543963,4254241,3487951,2933514,1986053,2550855,2442828,3079966
C8H7N,374959,417635,234635,455158,283956,262062,296713,300919,255173,241940,175199,160792,194978,238091
C5H11NO2,50433820,73527736,79610256,44700844,41088152,42753344,46080920,37640672,51931372,49223864,22611724,68150312,44614468,47038320
C5H11NO2 - 1A,10299064,8515569,9676522,7606259,6687114,7878728,8013399,9209815,7268111,11320109,6069089,5558315,6875669,8569770
CrH2O4,87288,101817,86083,95292,105859,92398,68189,103612,103256,89664,115998,123562,94169,92764
C4H6O4,14200609,14531640,9687119,13604351,13670866,11542933,14384049,14608892,11654163,15777433,9188221,7325899,9294746,13093281
C4H6O4 - 1A,308061,308548,206653,281019,227202,250640,265153,263654,197880,311097,193353,177044,235245,283333
C7H6N2,554829,362338,855289,359997,440491,326842,417361,577363,677207,494865,526801,392750,285463,417969
C4H10N2O2,314685,303144,323325,303285,373789,351188,366638,329252,315285,343995,323717,298144,250660,308313
C4H10N2O2 - 1A,1287678,1110705,1299479,987723,1273472,1113229,1331237,1358564,1041096,1179239,1238249,1150836,890527,1040656
C4H10N2O2 - 2B,274479,364440,327896,316762,358057,299329,325644,280032,315285,356505,508999,284458,258089,295605
C9H10,757355,341226,319230,305652,336394,380761,523150,301538,375544,318943,288819,309772,336351,340099
C3H5NO4,149862,162381,130509,137885,149967,128668,139425,139012,130543,136471,140783,136046,130244,143248
C4H9NO3,67662,60631,38191,50136,53305,34509,48074,59573,104066,74668,51891,81695,80567,90662
C4H9NO3 - 1A,132294,124454,113677,96985,110207,94839,92798,99437,71785,78205,45823,59651,76407,84875
C4H9NO3 - 2B,4663238,5427255,3635726,4332415,5417001,4740567,5100666,4059786,3997054,4896741,3154868,2993266,3894093,4243643
C4H8O4,129632,141455,98437,130431,129539,101338,113810,96418,95735,118424,76432,92136,107549,115614
C4H8O4 - 1A,93670,122317,78371,117940,90078,69981,103187,88260,97208,89536,61695,59136,103719,97921
C6H6N2O,90910672,98838552,169992144,40751944,28913438,42720608,52700160,67638552,47828772,184530848,39467396,28879404,28532874,42789028
C6H6N2O - 1A,72302072,19980332,17281486,31039540,13209438,13489437,25357424,24858590,17713548,20540912,21732364,23395906,6673626,21729058
C6H6N2O - 2B,254060480,148424640,323586816,173678304,142301488,107696072,139191152,252607296,248535456,237604208,239424640,201170160,109336976,175526112
C2H5O4P,895838,1224872,1064668,1007541,1192322,966277,847333,1126758,1289005,834811,896820,949624,979631,1128922
C2H7NO3S,100774616,94279280,78905184,89596104,77758072,77534024,87667232,88866968,83883824,99351936,70394928,72578928,80197592,93510856
C6H7NO2,54563,49953,51758,42857,56075,68600,55038,52253,47698,63312,46872,44530,46651,57335
C5H7N3O,599753,613381,603470,657149,762622,696405,704265,686120,744116,649789,743677,671235,807782,701783
C5H7N3O - 1A,302924,307112,185810,269332,239980,213981,269412,239060,355143,502012,277045,389351,399413,438558
C6H11N3 - 1A,1142137,1309895,1418448,1370766,1373085,1250347,1260249,1370619,1285024,1216463,1219936,1568731,1150781,1284652
C6H11N3 - 2B,978680,1173861,1117366,1317378,1463885,1188417,1059378,1130475,1045491,1229673,1188617,1123244,1123416,1279768
C6H11N3 - 3C,2195615,2201363,2429064,2534541,2611227,2459471,2280965,2222749,2361809,2374929,2394491,2367368,2281915,2927551
C2H6O4S,1412444,1631156,1181578,1562460,1618326,1247584,1384186,1361674,961344,1601429,850397,707789,1158374,1351778
C5H6N2O2,457570,340752,465600,383590,0,360978,560095,462890,331297,311276,312978,382895,391589,504083
C5H6N2O2 - 1A,60009,96805,478928,73924,57028,66283,83390,61121,94983,188141,91008,93476,123587,124497
C6H13N3,182528,207462,383983,185504,318145,385423,176980,179608,342077,383724,446222,326734,349228,459748
C8H17N,184207,191217,168177,194713,177701,169405,179469,199642,174778,189133,187153,204237,177429,187666
C4H4N2O3,166255,171977,212345,245725,217237,220975,230271,185865,261678,281845,207322,229523,211837,217471
C5H8N2O2,405002,377581,376671,439421,401888,462950,390312,363366,403285,433271,430870,408367,442801,425038
C5H8N2O2 - 1A,373637,383991,404156,436976,400554,398747,352832,377732,370135,391996,381530,347215,367410,369494
C5H8N2O2 - 2B,23050748,26173682,23349448,25431704,22776712,25263242,23891364,20686780,20439616,21385256,19418378,18203884,18753112,20121138
C8H16O,215924,230693,206354,226849,223208,199872,255903,216124,232121,176156,256113,216724,203736,185276
C5H7NO3,19038346,19297970,13881192,19408740,16296275,14527857,18681632,15478489,12768206,23157456,9664179,11007514,14153514,16356857
C6H11NO2,162675,219720,141034,146612,140324,146218,137145,165491,171616,147058,138601,131744,159196,157508
C6H11NO2 - 1A,140878,121595,93025,134025,110718,99329,118856,126126,113292,135298,94081,93845,107088,124713
C6H11NO2 - 2B,943149,824834,716293,836655,663719,596000,656373,731514,542058,616687,481260,478388,528117,623163
C8H19N,6272792,5990267,6063347,7138155,5872660,6790190,6179961,6469704,6952231,5903715,5966677,6087583,6525513,5958085
C8H19N - 1A,1061267,992751,1108265,1101414,1097506,1128554,1112280,1136996,1131702,1076438,1172827,1153506,1222188,1104201
C5H6O4,1646144,1524716,1440184,1661887,1471511,1300189,1662001,1182806,1631937,1274640,1592127,1329482,1180120,1415221
C5H6O4 - 1A,1401864,1398927,1288864,1306634,1099637,1061960,1326206,1102027,1298824,1123104,1304587,1285717,1078634,1310877
C4H6N2O3,210300,254812,233733,238404,262138,277619,268594,243149,173312,173911,153977,184675,210440,216904
C6H10O3 - 1A,68827,213428,331954,86588,86975,82276,93759,125497,88039,184381,74576,79391,65181,76994
C5H10N2O2,147870,175476,185223,179749,222742,162825,172510,167689,168143,154325,187012,159305,180354,201392
C7H14O2,2148468,2060629,1708522,3150888,2298820,2098227,3331550,1786744,2684633,2215350,1575319,1726574,2950624,1836129
C4H5NO4 - 1A,316554,384400,369441,378088,401871,389850,353190,365642,277404,395841,324870,376373,388759,352583
C5H9NO3,290578,270222,262688,234340,244160,226527,248075,303464,212717,292696,163222,160698,176615,225322
C4H9N3O2 - 1A,3058908160,3422685696,3127731456,3064923392,3217457664,3257905152,2924000000,2931437568,3209278720,2947162624,2684131840,2904420352,3054776064,2964490752
C6H13NO2,17592612,17920598,18268932,16233284,16284847,13903842,17147472,21205100,14754082,18678102,12010219,11890732,15771677,17848672
C6H13NO2 - 1A,8415455,6826375,7881679,6583022,5186115,5463054,6759040,8404612,6968744,8014897,4862075,4919154,5705837,7154307
C4H8N2O3,90452,116381,112913,101081,112735,90478,100448,100364,78174,89164,103772,91757,79857,87684
C4H8N2O3 - 1A,116969,124982,130259,117784,154728,137282,134899,123183,133915,126061,144640,122446,126461,140709
C4H8N2O3 - 2B,1645799,1799061,1295731,1573849,1694297,1565810,1744135,1620620,1647737,1943245,1318368,1442278,1753683,1827923
C6H12O3,109095,117825,472069,205953,80960,97853,153602,117312,152944,164343,118238,116133,154124,129724
C5H12N2O2 - 1A,555655,642081,538361,614485,399922,486971,717432,522794,490386,751222,317810,432363,373493,418656
C5H12N2O2 - 2B,788150,901862,1109919,794996,809107,616791,1005703,671181,778432,1986964,671800,806070,779546,846960
C4H7NO4,58097720,50263860,40372892,49287196,45528732,46069176,48773564,42296252,39873700,53624068,35248668,33162794,39070020,45703468
C5H11NO3,902761,3467971,910742,923202,891664,3529111,751871,895051,1018326,1568103,952017,989591,1130596,1109622
C5H11NO3 - 1A,3986016,3467971,3966740,4047141,4007324,3529111,3679670,4134847,4514213,4479789,4005764,4176218,5536228,5686079
C5H11NO3 - 2B,2066972,2054800,1809540,1816570,1794104,1590288,1944731,1790568,1592571,2036581,1309720,1300810,1640564,2232152
C4H6O5,92376560,107087408,77256272,98711664,78249136,78209864,83698400,77851896,77200736,101950472,68729856,58103520,85082280,77501768
C5H12O,580944,737999,809585,1106590,907750,801606,872059,783768,790019,674761,847921,1099375,796864,834710
C5H5N5,61867916,49229664,50173412,53190668,46171124,52378816,63654380,59266164,38500764,53482268,40908064,35639716,31470668,52914976
C4H8O5,7090979,6725857,4497277,7008086,3877645,4614369,5309064,3994765,4930360,5738625,3838902,3746539,6610543,7946403
C5H4N4O - 1A,307546400,226706256,234501984,216203312,271857248,157484240,217494448,285426528,213103216,239337776,158553632,192899072,126440504,212567296
C8H8O2,208824,365820,441160,630336,112099,180953,78139,377526,49689,61579,58429,59167,28501,67319
C8H8O2 - 1A,193996,243501,138987,106318,74559,116173,42207,249627,31929,29402,29591,28851,37661,41166
C6H6N2O2 - 1A,200481,210170,124859,155960,186196,152797,189814,153409,179688,190522,173014,169327,182291,187222
C5H6N4O,367323,282344,352005,308500,254842,312230,291374,296247,238816,243360,211001,194195,283798,348741
C6H8N2O2,863776,969522,500367,857410,1437004,551583,673561,799903,560681,895004,613413,455123,757809,805651
C2H8NO4P,14531686,14313187,8953620,11727190,11266653,10244837,11420537,12631142,12242721,13112493,8567050,8197219,10048913,12766180
C2H8NO4P - 1A,197953,183302,138919,154001,145443,148150,156205,164255,157748,166829,127099,117600,166692,169583
C6H7NO3,78717,94696,95389,95388,95480,94414,92784,86635,94510,96409,95795,93178,82733,89306
C7H11NO2,106970,91427,92647,110488,98446,109298,95923,74825,116382,116678,92766,94757,111711,144654
C6H10N2O2,75625,126949,108440,148799,122041,96905,150408,109008,120450,129312,90125,91545,134647,102240
C8H14O2,479005,860308,697689,662412,485124,641936,541282,432016,388392,839660,241209,358679,405774,261910
C7H13NO2,250021,208424,173823,144402,171971,199610,159457,180891,241174,236657,167023,216392,117147,293914
C7H12O3,266152,268495,229864,454816,470882,267819,370719,244447,438983,200799,295449,275662,508850,263800
C7H12O3 - 1A,443782,449573,410920,942587,319941,336781,762834,415050,927750,452442,739986,776019,867467,851849
C7H12O3 - 2B,149451,87383,59974,76772,104599,99119,135573,122876,101333,73467,134413,79864,129642,89905
C6H12N2O2,70553,86908,82589,100882,91596,92112,62788,80106,90402,86854,99549,95127,87798,89806
C8H16O2,5635367,6350016,5460192,14565333,7172694,5632381,15745438,5999018,10484547,6401253,7467165,8308774,10836499,7232470
C5H7NO4,442389,407253,381174,380158,440095,295989,298329,398413,117397,124303,75469,63569,110649,114071
C9H7NO,139094,106861,82306,94998,90212,96464,92827,115939,69816,98949,55638,47054,72908,66852
C6H11NO3,1323872,1185449,1075824,1218087,1100715,944598,1082902,1285190,782563,1359964,820377,716745,907524,1148015
C5H11N3O2,119950,171088,139123,165552,147910,180319,139396,150884,159277,140914,145610,166654,159819,172021
C5H11N3O2 - 1A,10876313,11638941,10981334,12275660,10550328,11759721,10128365,10230919,10887147,15156519,10168385,10784571,10328944,12360522
C7H15NO2,22840570,24883350,19880020,21258022,21267350,21007548,20969800,23394426,18524982,23392546,17024024,13409469,15933363,25559062
C7H15NO2 - 1A,1548727,2374191,1115630,1387328,1924668,1862606,1260240,1340620,1048915,1970962,1460536,1488360,1334947,2204120
C5H6O5,268395,408615,322233,320478,308059,260116,358013,246612,212633,308852,216831,210861,223226,319893
C5H10N2O3,680703616,718885504,629340032,650941504,621627648,652777152,676203776,655382976,708315648,699950016,537734016,577283456,604593280,640558592
C7H14O3,155844,311307,161970,449454,270827,143230,359518,148087,312862,235621,217741,385083,340474,318882
C6H14N2O2,6578778,6797556,5361236,7392205,6416512,5937693,5885972,6393239,4665394,5876776,3564711,4031142,4175875,5428865
C5H9NO4,318103008,319778656,269950016,287631680,346524864,299963840,302144800,275160928,282405376,361098720,275232992,246835312,325709472,338339456
C5H9NO4 - 1A,2287506,2531480,1886618,2986215,3139341,2731083,2212383,2045905,1603424,2462104,1293979,1238639,1708907,2384906
C4H9N3O3,267613,324321,227209,384820,247044,270506,297873,272812,231362,355348,192332,212481,255098,315331
C5H8O5,8002668,7134455,3770843,5914444,6477147,4754439,5320630,4399870,5916088,7199519,4553520,4228934,5209537,6085317
C6H12O4 - 1A,89651,146631,77615,131612,84515,62491,93240,115991,77845,127415,82804,68200,124351,85227
C5H11NO2S,19861906,17755238,15759981,16630207,15103735,14094837,14617856,19100038,11418893,14270633,8232744,8727282,10814769,12197792
C6H7N5,549687,564989,386356,534652,481967,467419,487247,486873,358135,427010,346196,333896,423562,349834
C6H12O3 - 1A,244667,256095,289373,129024,300856,191050,494891,307963,264913,210636,239329,2635966,208041,498719
C9H10O2,38474,60475,44328,58590,50545,42422,42374,45630,54746,62303,59880,70262,53466,42398
C9H10O2 - 1A,119847,158315,103039,132861,70701,83149,111293,103012,77426,111580,63579,73337,71106,74744
C4H9NO3S,1835673,1600687,1701774,1907274,1811628,1687180,1692623,1828409,1889742,1511425,1897828,1724163,1468744,1973449
C5H5N5O,1498913,1384274,681959,1359868,1157893,1069543,1306972,1144699,1056262,1354743,780092,740172,938415,1174635
C5H5N5O - 1A,419058,770388,404241,623446,738751,660457,613435,749501,491656,599514,395760,419897,544978,936875
C5H4N4O2,10613749,7484845,9226598,7446846,6275173,7152761,6790461,10399310,7056977,8430771,6405826,5754602,3722801,8270252
C5H4N4O2 - 1A,278326,249407,135179,227670,205260,206146,212070,197626,173150,245415,143149,117301,165190,221204
C7H8N2O2,9736391,9857285,12471277,11701811,10392092,9917076,11195177,12505424,14788070,17548346,20433838,13323975,14681024,14303772
C5H12O5,422778,449338,359150,411528,312755,323318,367603,353664,341254,517544,282903,248875,292640,396593
C3H7O5P,501554,450160,382959,486540,453028,322858,508205,560673,380374,536744,327316,269114,268681,424321
